GlobalID,Slope_Ave,Slope_Max,Slope_Min,n_permit_22,n_permit_17
{00015F0A-DA7C-43CC-BF15-F7740A0CC528},15.12616158,15.89212608,14.36019707,0,0
{0002E371-C1A1-475A-875E-B7B164CE649D},14.87293291,15.38999462,14.18987083,0,0
{00031FDE-E192-43DB-A118-65423755FD11},9.402553175,14.82760715,3.949322462,0,0
{0003AEBB-2365-472C-83B1-1A169EEBFC8E},17.71324444,22.77767944,13.60165596,0,0
{0009246F-59EA-48D0-8FE8-ECA6460C7B40},6.035584807,9.953977585,3.29767561,0,0
{000AA61C-7DF4-4719-93CA-F429CEE3E8C6},15.26633739,20.71128082,11.63133812,0,0
{000D0900-296E-47F6-BC00-AB72DB944575},16.56644951,19.52373886,13.18244743,0,0
{000F531C-6472-4EB2-8041-6074AD7209C3},17.11787126,21.29903412,8.558346748,0,0
{0010482A-019E-45ED-A519-C2247D1F2E07},17.98737499,31.67413712,1.6745193,0,0
{00114FC0-6164-4DBB-9E97-20CEBE0D3102},1.590786457,1.997340322,1.184232593,0,0
{0012D1E0-3B5B-4ABF-9EAE-99252EBC71A8},13.16645936,27.91165352,1.642019272,0,0
{001322A2-35CE-4C86-BC29-1F672491AF86},4.790518305,10.53911686,0.328490198,0,0
{0013C696-887D-49A0-9E0A-02696D82EE1F},6.281030178,7.040324211,5.450723171,0,0
{0015D683-BC43-4594-A119-FF37954866AD},9.252663612,10.4011507,7.894857407,0,0
{00163FE0-D549-4EAA-AA41-FE650D1C7628},16.62116337,19.26432419,13.97800255,0,0
{0016F7C9-30A3-44EC-B42E-F86C3073D696},9.224968815,12.96700478,4.003250599,0,0
{001822DE-B2FB-4629-888D-64167549E6A8},9.510972818,15.43760872,4.635463238,0,0
{001853C7-F108-4AEF-957C-D73B7DDF9378},15.89538499,23.08166885,3.740084171,0,0
{001D864C-A4ED-409F-862C-9BCDBF5DA131},11.05629727,14.52137661,3.487622976,0,0
{00214179-1E81-4F02-B59D-765DF12E8045},10.75202274,10.75202274,10.75202274,0,0
{00224227-AD8A-4704-9171-2117DC65FB1A},7.383068085,9.764638901,5.001497269,0,0
{00229582-30EF-448D-B2C9-E60056AD36F2},20.93769179,25.18620682,18.4088726,0,0
